岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
JAVA实习生,40-50/天,本科,实习3个月,北京,】  1、负责公司网站开发和维护；负责对网站进行实施，测试；负责现有网站的维护和升级；负责解决开发过程中的技术问题；负责网站开发文档编写工作；  2、从事公司所接业务及本公司官网、后台系统的开发、调试，参与产品的需求分析、设计、开发以及测试几个阶段；  3.app相关后台的数据库设计制作，json对接，jsp技能必备等,】  1. 本科及以上学历，接收实习生；  2. Java底层知识扎实；熟练使用当前主流框架，如：SSH，SSM框架；  3. 熟悉MySQL数据库开发；  4. 逻辑思维能力强者优先  5. 积极主动，能承受压力，良好的团队意识，工作仔细，责任心强；    【你将获得】  1.北上广有梦，这里是梦开始的地方,】  1. 本科及以上学历，接收实习生；  2. Java底层知识扎实；熟练使用当前主流框架，如：SSH，SSM框架；  3. 熟悉MySQL数据库开发；  4. 逻辑思维能力强者优先  5. 积极主动，能承受压力，良好的团队意识，工作仔细，责任心强；    【你将获得】  1.北上广有梦，这里是梦开始的地方
Java实习生,120-150/天,本科,实习8个月,宁波,：1.负责SDK能力开放平台的开发； 2.按照项目要求和项目计划，保质保量地完成工作,和项目计划，保质保量地完成工作,和项目计划，保质保量地完成工作
Java实习生,100-200/天,本科,实习3个月,苏州,,,
Java助理,120-180/天,不限,实习3个月,成都,1、根据业务详细需求和公司需要，进行各应用系统和业务产品的开发工作；2、参与部分系统体系结构分析、数据库、接口设计等工作；3、根据开发规范、流程和设计文档，独立完成具体模块的编码、测试以及相关文档工作；4、协助测试工程师制定测试计划，定位发现的问题；5、完成其他公司交办的任务,1、有一定JAVA基础，了解多线程机制；2、理解JAVA EE中的JSP/SERVLET，熟悉原生JDBC；3、能使用mysql或oracle数据库的一种 ，对基本CRUD及较复杂SQL查询比较了解 ；4、对前后端分离、通讯数据格式等有一定了解；5、了解Nodejs相关常用工具如webpack、NMP等；6、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神,1、有一定JAVA基础，了解多线程机制；2、理解JAVA EE中的JSP/SERVLET，熟悉原生JDBC；3、能使用mysql或oracle数据库的一种 ，对基本CRUD及较复杂SQL查询比较了解 ；4、对前后端分离、通讯数据格式等有一定了解；5、了解Nodejs相关常用工具如webpack、NMP等；6、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神
JAVA工程师,800-1000/天,本科,实习3个月,全国,】 1.加入公司Java组完成公司的相关工作开发 2.利用全新Loha语言，挑战Java原有架构 3.参与创新技术框架，颠覆SSM； 4.进行全业务动态部署； 5.参与现场远程调试与更新；本地故障重现；  【任职要求】 1.本科在校生； 2.超强逻辑思维能力； 3.强大的自驱力和侵略性； 4.愿意长期实习。【你将获得】1.创新的泉安云，颠覆了传统，希望伟大中有你,】 1.本科在校生； 2.超强逻辑思维能力； 3.强大的自驱力和侵略性； 4.愿意长期实习,】 1.本科在校生； 2.超强逻辑思维能力； 3.强大的自驱力和侵略性； 4.愿意长期实习
Java实习生,面议,本科,实习3个月,沈阳,】 1、负责公司网站开发和维护；负责对网站进行实施，测试；负责现有网站的维护和升级；负责解决开发过程中的技术问题；负责网站开发文档编写工作； 2、从事公司所接业务及本公司官网、后台系统的开发、调试，参与产品的需求分析、设计、开发以及测试几个阶段； 3.app相关后台的数据库设计制作，json对接，jsp技能必备等,】 1. 本科及以上学历，接收实习生； 2. Java底层知识扎实；熟练使用当前主流框架，如：SSH，SSM框架； 3. 熟悉MySQL数据库开发； 4. 逻辑思维能力强者优先 5. 积极主动，能承受压力，良好的团队意识，工作仔细，责任心强； 【你将获得】 1.北上广有梦，这里是梦开始的地方,】 1. 本科及以上学历，接收实习生； 2. Java底层知识扎实；熟练使用当前主流框架，如：SSH，SSM框架； 3. 熟悉MySQL数据库开发； 4. 逻辑思维能力强者优先 5. 积极主动，能承受压力，良好的团队意识，工作仔细，责任心强； 【你将获得】 1.北上广有梦，这里是梦开始的地方
Java工程师,120-180/天,大专,实习3个月,济南,,并乐于学习，欢迎你加入我们！ 工作内容：1、java相关项目代码编写，根据上级要求，完成相关开发任务和维护任务2、完成项目软件测试工作，并撰写相关技术文档3、上级安排的其他任务 任职要求： 1、专科(含专科，统招)以上学历，计算机、软件、数学等相关专业毕业,并乐于学习，欢迎你加入我们！ 工作内容：1、java相关项目代码编写，根据上级要求，完成相关开发任务和维护任务2、完成项目软件测试工作，并撰写相关技术文档3、上级安排的其他任务 任职要求： 1、专科(含专科，统招)以上学历，计算机、软件、数学等相关专业毕业
Java实习生,100-200/天,本科,实习12个月,杭州,,,
java助理,80-120/天,大专,实习4个月,成都,1、根据业务详细需求和公司需要，进行各应用系统和业务产品的开发工作；2、参与部分系统体系结构分析、数据库、接口设计等工作；3、根据开发规范、流程和设计文档，独立完成具体模块的编码、测试以及相关文档工作；4、协助测试工程师制定测试计划，定位发现的问题；5、完成其他公司交办的任务,1、有一定JAVA基础，了解多线程机制；2、理解JAVA EE中的JSP/SERVLET；3、能熟练使用mysql或oracle数据库  ；4、对前后端分离、通讯数据格式等有一定了解；5、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神,1、有一定JAVA基础，了解多线程机制；2、理解JAVA EE中的JSP/SERVLET；3、能熟练使用mysql或oracle数据库  ；4、对前后端分离、通讯数据格式等有一定了解；5、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神
JAVA实习生,150-200/天,本科,实习4个月,北京,,： 1. 2021届应届毕业生，统招本科学历以上，985/211院校优先考虑； 2. 有扎实的数据结构和算法功底，能熟练使用一门开发语言； 3. 有技术好奇心，具备良好的沟通能力和协作意识，自学能力强，有比较好的产品意识； 4. 热爱移动开发，有移动开发经验者优先； 5. 每周至少工作4天以上,： 1. 2021届应届毕业生，统招本科学历以上，985/211院校优先考虑； 2. 有扎实的数据结构和算法功底，能熟练使用一门开发语言； 3. 有技术好奇心，具备良好的沟通能力和协作意识，自学能力强，有比较好的产品意识； 4. 热爱移动开发，有移动开发经验者优先； 5. 每周至少工作4天以上
JAVA工程师,80-150/天,不限,实习8个月,广州,：工作职责：具有创业精神者优先1.负责公司物联网平台以及应用软件的设计、开发、部署、测试、发布及技术支持,,
Java实习生,200-300/天,本科,实习3个月,上海,,：1、具有数据结构、算法基础、编码能力；2、掌握java语言，熟悉面向对象设计开发；3、良好的编码习惯、沟通协作能力、问题分析与解决能力4、 积极乐观，认真负责，乐于协作,：1、具有数据结构、算法基础、编码能力；2、掌握java语言，熟悉面向对象设计开发；3、良好的编码习惯、沟通协作能力、问题分析与解决能力4、 积极乐观，认真负责，乐于协作
Java实习生,100-120/天,大专,实习3个月,成都,1、负责代码编写、单元测试、Bug修改；2、协助测试人员完成集成和系统测试；3、完成项目组分配的其它工作,[],[]
Java实习生,150-180/天,硕士,实习3个月,上海,,,
java实习生,50-100/天,大专,实习3个月,成都,,[],[]
Java实习生,面议,不限,实习4个月,成都,,[],[]
Java实习生,150-180/天,本科,实习2个月,南京,： 负责我司在线实习、课程、B端业务的开发和迭代,： 1.本科及以上学历，计算机相关专业； 2.学习能力强，对数据结构有较好的理解；  3. 熟练掌握java语言，有一定的Springboot等相关框架开发经验；  4. 对mysql等数据库知识有较好理解，有使用经验,： 1.本科及以上学历，计算机相关专业； 2.学习能力强，对数据结构有较好的理解；  3. 熟练掌握java语言，有一定的Springboot等相关框架开发经验；  4. 对mysql等数据库知识有较好理解，有使用经验
Java实习生,150-200/天,大专,实习3个月,南京,"：1. 负责项目功能模块的需求分析、设计、编码实现，并确保开发质量；2. 建立并维护项目的开发文档，进行模块及全流程测试；；3. 进行项目部署及协调解决上线后出现的故障；4.驻公司或客户现场开发； 岗位要求：1、大专及以上学历；2、接受计算机相关专业实习生并提供转正机会；3、有相关开发经验者优先考虑；4、熟悉简单的java开发语言  上班时间：五天制，09:00-12:00,13:30-18:00其他福利：奖金、带薪假期、社会保险、下午茶不断、节日礼品、餐补房补、年度旅游、不定时团建等（公司配置有冰箱、微波炉等）；办公氛围：充满活力的90后团队、现代化办公环境、人文化管理","：1、大专及以上学历；2、接受计算机相关专业实习生并提供转正机会；3、有相关开发经验者优先考虑；4、熟悉简单的java开发语言  上班时间：五天制，09:00-12:00,13:30-18:00其他福利：奖金、带薪假期、社会保险、下午茶不断、节日礼品、餐补房补、年度旅游、不定时团建等（公司配置有冰箱、微波炉等）；办公氛围：充满活力的90后团队、现代化办公环境、人文化管理","：1、大专及以上学历；2、接受计算机相关专业实习生并提供转正机会；3、有相关开发经验者优先考虑；4、熟悉简单的java开发语言  上班时间：五天制，09:00-12:00,13:30-18:00其他福利：奖金、带薪假期、社会保险、下午茶不断、节日礼品、餐补房补、年度旅游、不定时团建等（公司配置有冰箱、微波炉等）；办公氛围：充满活力的90后团队、现代化办公环境、人文化管理"
JAVA实习生,300-500/天,本科,实习3个月,全国,,,
