岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
分布式系统开发工程师 （C/C+),150-200/天,本科,实习1个月,北京,：1、负责编写程序完成分布式系统基础技术的验证和研究2、某些产品模块试验型设计招聘要求1、基础素质：211以上本科大三或研二，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题,1、基础素质：211以上本科大三或研二，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题,1、基础素质：211以上本科大三或研二，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题
分布式系统开发工程师 （C/C+),150-200/天,本科,实习1个月,成都,：1、负责编写程序完成分布式系统基础技术的验证和研究2、某些产品模块试验型设计 招聘要求1、基础素质：211以上本科大三或研二，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题,1、基础素质：211以上本科大三或研二，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题,1、基础素质：211以上本科大三或研二，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题
分布式系统开发工程师 （C/C+),120-200/天,不限,实习1个月,西安,：1、负责编写程序完成分布式系统基础技术的验证和研究2、某些产品模块试验型设计招聘要求1、基础素质：211以上本科大三或研二，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题,1、基础素质：211以上本科大三或研二，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题,1、基础素质：211以上本科大三或研二，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题
C/C++工程师,80-150/天,本科,实习3个月,沈阳,】 1、通过相应的指导，可以完成初级作业； 2、遵循公司编码规范，负责简单模块的编码实现； 3、负责验证编码质量（如Code Review，单体测试）； 4、协助测试人员进行项目测试，完善软件模块； 5、负责编写项目技术相关文档,】 1、理工科专业，意愿从事C/C++软件开发工作； 2、2021年应届毕业生，优秀者可放宽至毕业2年内； 3、沟通表达良好，有较强的学习能力、适应能力，有责任心； 4、实习期可保证3-6个月,】 1、理工科专业，意愿从事C/C++软件开发工作； 2、2021年应届毕业生，优秀者可放宽至毕业2年内； 3、沟通表达良好，有较强的学习能力、适应能力，有责任心； 4、实习期可保证3-6个月
C/C++实习生,200-250/天,本科,实习6个月,北京,：1. 根据工作需要进行技术攻关，实现毫秒级的高性能软硬件应用；2. 针对现有产品进行维护和性能优化；3. 参与项目的需求分析、方案设计以及接口设计等相关工作。任职要求：1. 计算机及相关专业，大学本科及以上；2. 熟悉C/C++ 语言，有C++11或boost开发经验优先；3. 熟悉Qt机制，能熟练使用Qt开发界面框架4. 熟悉多线程/多进程、网络通信等技术，有服务器/客户端模式软件或软硬件一体化软件开发经验；5. 具有扎实的数据结构及算法基础，良好的编程习惯；6. 熟悉软件工程，有敏捷开发经验；7. 工作踏实，态度积极，责任心强，能够承担较大工作压力，有强烈的开拓精神；8. 熟悉空间几何及矩阵变换等相关数学知识优先,：1. 计算机及相关专业，大学本科及以上；2. 熟悉C/C++ 语言，有C++11或boost开发经验优先；3. 熟悉Qt机制，能熟练使用Qt开发界面框架4. 熟悉多线程/多进程、网络通信等技术，有服务器/客户端模式软件或软硬件一体化软件开发经验；5. 具有扎实的数据结构及算法基础，良好的编程习惯；6. 熟悉软件工程，有敏捷开发经验；7. 工作踏实，态度积极，责任心强，能够承担较大工作压力，有强烈的开拓精神；8. 熟悉空间几何及矩阵变换等相关数学知识优先,：1. 计算机及相关专业，大学本科及以上；2. 熟悉C/C++ 语言，有C++11或boost开发经验优先；3. 熟悉Qt机制，能熟练使用Qt开发界面框架4. 熟悉多线程/多进程、网络通信等技术，有服务器/客户端模式软件或软硬件一体化软件开发经验；5. 具有扎实的数据结构及算法基础，良好的编程习惯；6. 熟悉软件工程，有敏捷开发经验；7. 工作踏实，态度积极，责任心强，能够承担较大工作压力，有强烈的开拓精神；8. 熟悉空间几何及矩阵变换等相关数学知识优先
C/C++实习生,150-250/天,本科,实习6个月,北京,,,
C/C++实习生,150-300/天,硕士,实习3个月,杭州,"：1. 参与产品需求分析, 研究产品技术细节；根据产品需求编写相应的技术文档；2. 熟悉C++语言；3. 具有刻苦学习、专研精神，对常用的算法、数据结构有一定的了解，良好的代码风格；4. 对自己的工作成果认真负责，会写单元测试，论证自己的代码准确性，保证质量；5. 认真细致，踏实勤奋，具有较好的团队协作精神和沟通能力",,
c/c++开发实习生,100-150/天,本科,实习6个月,海口,】1、从事C++应用软件的开发；2、负责需求分析、设计、开发、系统维护工作；3、负责相关项目开发任务，按项目要求完成交付、实施工作。【任职要求】1、2023届应届毕业生，本科及以上学历，计算机软件、通讯相关专业；2、有扎实的C++语言基础，熟悉主流开发框架；4、熟悉ORACLE、mysql等数据库；4、掌握常用的设计模式，对Linux操作系统，网络通讯技术有深入了解；5、了解redis、Nginx、his、kafka等相关技术优先；6、性格开朗，学习及语言表达能力强，善于与人沟通、交流 ,完成交付、实施工作,完成交付、实施工作
C/C++开发实习生,150-200/天,本科,实习6个月,杭州,】1、从事C++应用软件的开发；2、负责需求分析、设计、开发、系统维护工作；3、负责相关项目开发任务，按项目要求完成交付、实施工作。【职位要求】1、2023届应届毕业生，本科及以上学历，计算机软件、通讯相关专业；2、有扎实的C++语言基础，熟悉主流开发框架；4、熟悉ORACLE、mysql等数据库；4、掌握常用的设计模式，对Linux操作系统，网络通讯技术有深入了解；5、了解redis、Nginx、his、kafka等相关技术优先；6、性格开朗，学习及语言表达能力强，善于与人沟通、交流 ,完成交付、实施工作,完成交付、实施工作
C/C++开发实习生,120-200/天,本科,实习6个月,全国,】1、从事C++应用软件的开发；2、负责需求分析、设计、开发、系统维护工作；3、负责相关项目开发任务，按项目要求完成交付、实施工作,完成交付、实施工作,完成交付、实施工作
C/C++开发工程师,200-400/天,本科,实习4个月,全国,,,
C/C++研发实习生,200-400/天,本科,实习3个月,北京,  1、负责卫星星上的软硬件系统集成、功能开发和调试等工作,：3天/周，4个月以上 | 转正机会：有  岗位职责  1、负责卫星星上的软硬件系统集成、功能开发和调试等工作,：3天/周，4个月以上 | 转正机会：有  岗位职责  1、负责卫星星上的软硬件系统集成、功能开发和调试等工作
C/C++初级工程师,120-200/天,本科,实习3个月,上海,,,
