岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
Python实习生,200-250/天,本科,实习3个月,苏州,,,
Python实习生,200-300/天,本科,实习3个月,上海,：  根据公司行业研究的需要，编写爬虫程序，挖掘行业和公司数据,：  1.2022年或以上毕业的本科及硕士学历在校生，计算机、统计和金融工程等相关专业优先；2.具有扎实的编程和分析基础，精通Python等一种或多种语言，会写爬虫程序；3.具备良好的自学能力、沟通协调能力、表达能力与团队合作精神，抗压能力强，有较强的责任心；4.能够主动、积极并富有激情的工作；谢绝所有佛系学生,：  1.2022年或以上毕业的本科及硕士学历在校生，计算机、统计和金融工程等相关专业优先；2.具有扎实的编程和分析基础，精通Python等一种或多种语言，会写爬虫程序；3.具备良好的自学能力、沟通协调能力、表达能力与团队合作精神，抗压能力强，有较强的责任心；4.能够主动、积极并富有激情的工作；谢绝所有佛系学生
Python实习生,120-150/天,本科,实习12个月,东莞,,：1、2022届统招本科及以上学历，软件、计算机等相关专业，专业成绩排名前20%%%%优先考虑；2、学习能力强,：1、2022届统招本科及以上学历，软件、计算机等相关专业，专业成绩排名前20%%%%优先考虑；2、学习能力强
Python实习生,100-150/天,本科,实习6个月,南京,"：1. 处理ocr识别相关项目的算法和应用落地；2. 熟悉Pytorch，Tensorflow等；3. 使用过Python, docker, unix/linux, padddlepaddle，熟悉常见文本检测和识别算法；4.具有良好的学习和沟通能力",：1、2023届及以后毕业，计算机、通信相关专业优先，本科及以上学历；2、具备良好的沟通技巧、逻辑思维及语言表达能力；3、要求全日制实习，能实习6个月左右者优先考虑,：1、2023届及以后毕业，计算机、通信相关专业优先，本科及以上学历；2、具备良好的沟通技巧、逻辑思维及语言表达能力；3、要求全日制实习，能实习6个月左右者优先考虑
Python实习生,200-300/天,本科,实习6个月,杭州,,,
Python实习生,200-250/天,不限,实习3个月,北京,,[],[]
Python实习生,150-200/天,本科,实习6个月,上海,":1、按照规范负责清洗OCR识别后的数据并提取成结构化数据提供给相关人员使用。2、针对于某些特定的PDF,word,excel模板提取结构化数据。3、负责共通性数据模型的开发","：1、熟悉软件开发流程和方法, 至少掌握一种编程语言，Python为主；2、掌握爬虫技术、会scrapy、selenium等工具的优先；3、大学本科及以上学历，计算机、信息系统、软件工程等相关专业；4、具备RPA项目实施实习经验的优先","：1、熟悉软件开发流程和方法, 至少掌握一种编程语言，Python为主；2、掌握爬虫技术、会scrapy、selenium等工具的优先；3、大学本科及以上学历，计算机、信息系统、软件工程等相关专业；4、具备RPA项目实施实习经验的优先"
Python开发实习生,100-180/天,大专,实习2个月,成都,：根据业务和产品需求负责功能模块的设计、开发与维护。进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量。参照公司源代码管理相关要求进行代码版本管理、注释,进行代码版本管理、注释,进行代码版本管理、注释
Python开发工程师,150-200/天,本科,实习3个月,厦门,,：1、本科及以上学历，计算机、电子、通信等相关专业，python编程经验；23届毕业生，可长期实习优先；2、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、Socket等相关技术；3、精通Python语言，熟练使用Python标准库和流行的第三方库；4、熟悉Internet常用协议，如HTTP、TCP/IP等；5、责任心强，良好的逻辑思维能力，清晰的交流和表达能力，具有良好的团队合作意识；6、对代码和设计质量有严格要求，重视CodeReview，良好的编程习惯,：1、本科及以上学历，计算机、电子、通信等相关专业，python编程经验；23届毕业生，可长期实习优先；2、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、Socket等相关技术；3、精通Python语言，熟练使用Python标准库和流行的第三方库；4、熟悉Internet常用协议，如HTTP、TCP/IP等；5、责任心强，良好的逻辑思维能力，清晰的交流和表达能力，具有良好的团队合作意识；6、对代码和设计质量有严格要求，重视CodeReview，良好的编程习惯
Python开发实习生,150/天,不限,实习6个月,上海,,"： 1.熟练掌握python的基本语法,具有面向对象编程的思想，代码编写遵循PEP8的规则 2.能了解并使用python web 开发框架的一种：Django，Tornado, Flask 3.了解数据库：PostgreSQL，MySQL，MongoDB 4.了解前端开发知识，JS, CSS, jQuery, ajax, Bootstrap,vue.js等相关知识","： 1.熟练掌握python的基本语法,具有面向对象编程的思想，代码编写遵循PEP8的规则 2.能了解并使用python web 开发框架的一种：Django，Tornado, Flask 3.了解数据库：PostgreSQL，MySQL，MongoDB 4.了解前端开发知识，JS, CSS, jQuery, ajax, Bootstrap,vue.js等相关知识"
