岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
前端开发,80/天,本科,实习3个月,厦门,,,
前端开发,100-200/天,不限,实习3个月,厦门,,,
前端开发实习生,150-200/天,本科,实习3个月,成都,,,
前端开发实习生,200/天,本科,实习3个月,北京,,,
Web前端开发,120-200/天,本科,实习3个月,北京,,,
前端开发实习生,400-500/天,不限,实习2个月,北京, 1、负责字节跳动小程序SDK 核心框架、组件、API 能力的设计、研发与优化2、负责字节跳动开放平台业务的前端研发工作；3、负责开发者工具的设计研发；4、排查分析开发者使用中遇到的问题，并提供技术支持；职位要求 1、计算机相关专业；2、熟练掌握计算机数据结构、操作系统、网络通信原理；3、熟悉小程序或小游戏框架优先；4、能熟练掌握javascript、html、css相关基础知识；5、具有 Electron、Node.js、VUE、Android、iOS 研发经验者优先；6、追求卓越，关注业内动态，团队意识强, 1、计算机相关专业；2、熟练掌握计算机数据结构、操作系统、网络通信原理；3、熟悉小程序或小游戏框架优先；4、能熟练掌握javascript、html、css相关基础知识；5、具有 Electron、Node.js、VUE、Android、iOS 研发经验者优先；6、追求卓越，关注业内动态，团队意识强, 1、计算机相关专业；2、熟练掌握计算机数据结构、操作系统、网络通信原理；3、熟悉小程序或小游戏框架优先；4、能熟练掌握javascript、html、css相关基础知识；5、具有 Electron、Node.js、VUE、Android、iOS 研发经验者优先；6、追求卓越，关注业内动态，团队意识强
前端开发工程师,100-150/天,本科,实习12个月,广州,】 1.  参与公司各数字化医疗产品的web前端开发，熟悉公司开发平台和项目业务； 2.  根据开发进度和任务分配，完成功能页面的设计与代码编写，优化用户体验； 3.  编写整理技术开发文档,】 1.  本科及以上学历，计算机、软件工程、信息系统等相关专业； 2.  掌握基本的web前端技术，包括html/javascript/css等； 3.  熟悉vue框架，掌握基础的软件开发规范； 4.  积极主动，学习能力强，团队协作意识强，有良好的探索钻研精神，不怕困难,】 1.  本科及以上学历，计算机、软件工程、信息系统等相关专业； 2.  掌握基本的web前端技术，包括html/javascript/css等； 3.  熟悉vue框架，掌握基础的软件开发规范； 4.  积极主动，学习能力强，团队协作意识强，有良好的探索钻研精神，不怕困难
前端开发实习生,80-150/天,大专,实习3个月,成都,,：1、HTML/CSS/JavaScript基础扎实，熟悉W3C标准，了解ECMA规范发展状况； 2、熟练使用主流框架(React、Vue、bootstrap等)，并熟悉主流框架生态； 3、前端调试与优化能力强，熟练使用调试开发工具：抓包工具、Chrome调试工具与插件、移动端调试工具、IDE/编辑器插件；4、具备钻研精神，对前沿技术持续研究,：1、HTML/CSS/JavaScript基础扎实，熟悉W3C标准，了解ECMA规范发展状况； 2、熟练使用主流框架(React、Vue、bootstrap等)，并熟悉主流框架生态； 3、前端调试与优化能力强，熟练使用调试开发工具：抓包工具、Chrome调试工具与插件、移动端调试工具、IDE/编辑器插件；4、具备钻研精神，对前沿技术持续研究
前端开发实习生,150-250/天,硕士,实习3个月,杭州,】1. 小程序端/web端开发与部署；2. app端开发与部署；3. 其他前端开发工作；【任职要求】1. 研究生及以上学历，计算机、软件工程等相关专业，能独立完成编码，系统设计；2. 熟悉HTML/CSS3/JS及主流前端框架，如vue等；3. 熟悉uni-app开发；4. 了解不同操作系统及浏览器的兼容性区别；5. 对服务器开发有一定的了解，能够运用ajax配合后端工程师完成相关工作；6. 自学能力强，上进心强，能独立完成任务；7. 善于沟通，团队荣誉感强；8. 有实习经验/实际项目开发经验的优先；9. 熟悉layui框架的优先,】1. 研究生及以上学历，计算机、软件工程等相关专业，能独立完成编码，系统设计；2. 熟悉HTML/CSS3/JS及主流前端框架，如vue等；3. 熟悉uni-app开发；4. 了解不同操作系统及浏览器的兼容性区别；5. 对服务器开发有一定的了解，能够运用ajax配合后端工程师完成相关工作；6. 自学能力强，上进心强，能独立完成任务；7. 善于沟通，团队荣誉感强；8. 有实习经验/实际项目开发经验的优先；9. 熟悉layui框架的优先,】1. 研究生及以上学历，计算机、软件工程等相关专业，能独立完成编码，系统设计；2. 熟悉HTML/CSS3/JS及主流前端框架，如vue等；3. 熟悉uni-app开发；4. 了解不同操作系统及浏览器的兼容性区别；5. 对服务器开发有一定的了解，能够运用ajax配合后端工程师完成相关工作；6. 自学能力强，上进心强，能独立完成任务；7. 善于沟通，团队荣誉感强；8. 有实习经验/实际项目开发经验的优先；9. 熟悉layui框架的优先
前端开发工程师,300-500/天,本科,实习3个月,广州,： 1、 根据设计出的PSD图以及产品需求文档制作符合产品需求的静态页面，负责页面交互效果及其他特效实现，保证页面效果的实现与主流浏览器的兼容； 2、负责移动设备前端H5网页、市场推广、运营活动页面开发； 3、配合产品经理和UI设计师 ，研究并改善用户体验，配合后台工程师一起研讨技术实现方案，进行应用及系统整合,[],[]
前端开发实习生,200/天,本科,实习4个月,杭州,,：1. 能使用各类常用的前端控件，对模块化，组件化，前端工程化有所认识2. 了解HTTP/HTTPS协议， HTML5/CSS3/Javascript/TypeScript,：1. 能使用各类常用的前端控件，对模块化，组件化，前端工程化有所认识2. 了解HTTP/HTTPS协议， HTML5/CSS3/Javascript/TypeScript
前端开发工程师,200-300/天,不限,实习3个月,北京,,:1.2023年应届理工科毕业生优先，实习4个月以上；2.熟悉HTML、CSS、JavaScript 、TypeScript等基础语言，熟悉HTML5、CSS3、ES6新特性；3.掌握主流前端MVVM框架（Vue、React）中任何一种，熟悉常用组件库，熟悉Webpack和node.js开发环境，能够熟练使用Visual Code，熟悉git相关操作；4.良好的编程习惯和代码风格，致力于创作简洁可维护的代码5.积极乐观，责任心强，工作认真细致，具备良好的服务意识，具有良好的跨团队沟通与协作能力,:1.2023年应届理工科毕业生优先，实习4个月以上；2.熟悉HTML、CSS、JavaScript 、TypeScript等基础语言，熟悉HTML5、CSS3、ES6新特性；3.掌握主流前端MVVM框架（Vue、React）中任何一种，熟悉常用组件库，熟悉Webpack和node.js开发环境，能够熟练使用Visual Code，熟悉git相关操作；4.良好的编程习惯和代码风格，致力于创作简洁可维护的代码5.积极乐观，责任心强，工作认真细致，具备良好的服务意识，具有良好的跨团队沟通与协作能力
前端开发助理,120-200/天,不限,实习3个月,广州,,,
前端开发实习生,150-200/天,本科,实习3个月,北京,：1. 负责前端web页面的开发。2. 负责与产品需求的对接。任职要求：1. 具备较强的数据分析，问题分析，逻辑思维能力，良好的沟通，团队协作能力。2. 计算机或相关专业本科及以上学历。3. 熟练web前端开发，熟悉html/css/javascript。4. 熟练使用react框架开发前端页面。5. 熟悉SQL、Python语言者优先。6. 熟悉Linux系统者优先,：1. 具备较强的数据分析，问题分析，逻辑思维能力，良好的沟通，团队协作能力,：1. 具备较强的数据分析，问题分析，逻辑思维能力，良好的沟通，团队协作能力
前端开发实习生,180-200/天,本科,实习3个月,北京,：1、负责金山办公WPS海外官网、运营后台、H5活动等前端开发；2、调研和学习新技术。职位要求：1、计算机基础扎实，熟悉Javascript、HTML5和CSS3；2、了解至少一种前端框架（Webpack、React、Vue等)，有Vue开发经验者优先；3、思维逻辑严谨，理解、表达能力良好，热爱技术；4、实习期3个月以上，每周保证4天以上出勤,：1、计算机基础扎实，熟悉Javascript、HTML5和CSS3；2、了解至少一种前端框架（Webpack、React、Vue等)，有Vue开发经验者优先；3、思维逻辑严谨，理解、表达能力良好，热爱技术；4、实习期3个月以上，每周保证4天以上出勤,：1、计算机基础扎实，熟悉Javascript、HTML5和CSS3；2、了解至少一种前端框架（Webpack、React、Vue等)，有Vue开发经验者优先；3、思维逻辑严谨，理解、表达能力良好，热爱技术；4、实习期3个月以上，每周保证4天以上出勤
前端开发实习生,150-200/天,本科,实习3个月,广州,：1. 参与B端CRM系统开发2. 参与B端电商系统开发 技能要求：1. 有一定的前端开发经验；2. 熟悉HTML/CSS/JavaScript等前端开发技能，有 Typescript 经验优先；3. 熟悉React等主流前端库，对MVC/MVVM模式、前端组件化开发有一定理解和思考,：1. 有一定的前端开发经验；2. 熟悉HTML/CSS/JavaScript等前端开发技能，有 Typescript 经验优先；3. 熟悉React等主流前端库，对MVC/MVVM模式、前端组件化开发有一定理解和思考,：1. 有一定的前端开发经验；2. 熟悉HTML/CSS/JavaScript等前端开发技能，有 Typescript 经验优先；3. 熟悉React等主流前端库，对MVC/MVVM模式、前端组件化开发有一定理解和思考
前端开发实习生,100-200/天,本科,实习6个月,广州,,：1、 本科及以上学历，通信工程、计算机相关专业；2、 精通JavaScript，HTML、CSS熟练使用H5、CSS3，熟悉ES6和flutter者优先；3、 熟练使用前端框架库，例如VUE、React、Angular等，并具备实际项目开发经验，熟悉响应式编程；4、 熟悉NodeJS，熟悉Webpack、Gulp等构建打包工具中一种或多种,：1、 本科及以上学历，通信工程、计算机相关专业；2、 精通JavaScript，HTML、CSS熟练使用H5、CSS3，熟悉ES6和flutter者优先；3、 熟练使用前端框架库，例如VUE、React、Angular等，并具备实际项目开发经验，熟悉响应式编程；4、 熟悉NodeJS，熟悉Webpack、Gulp等构建打包工具中一种或多种
前端开发工程师,80-150/天,不限,实习4个月,广州,,,
前端开发工程师,150-200/天,不限,实习6个月,成都,：-- 负责公司H5相关产品的开发,：--本科及以上学历，计算机相关专业，2023届应届生,：--本科及以上学历，计算机相关专业，2023届应届生
