岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
后端开发,100-180/天,本科,实习5个月,广州,： 1.平台后台系统开发和相关技术攻关 要求： 1.熟悉JAVA、Python、C/C++等后端技术 2.熟悉虚拟机的原理，并有一定的基于虚拟机的相关开发与调试经验； 3.熟悉操作系统的相关原理，具备多线程/进程的相关开发经验，熟练应用IPC等相关机制；  4.熟悉数据库的相关原理，具备一种或者几种常见数据库的相关开发经验，比如mysql、PostgreSQL、MongoDB、Cassandra、Redis等 5.具备良好的设计模式、代码规范、团队合作能力，对新技术或问题能独立学习，思考解决问题 6.计算机、软件相关专业，有一定的项目经验者优先,： 1.熟悉JAVA、Python、C/C++等后端技术 2.熟悉虚拟机的原理，并有一定的基于虚拟机的相关开发与调试经验； 3.熟悉操作系统的相关原理，具备多线程/进程的相关开发经验，熟练应用IPC等相关机制；  4.熟悉数据库的相关原理，具备一种或者几种常见数据库的相关开发经验，比如mysql、PostgreSQL、MongoDB、Cassandra、Redis等 5.具备良好的设计模式、代码规范、团队合作能力，对新技术或问题能独立学习，思考解决问题 6.计算机、软件相关专业，有一定的项目经验者优先,： 1.熟悉JAVA、Python、C/C++等后端技术 2.熟悉虚拟机的原理，并有一定的基于虚拟机的相关开发与调试经验； 3.熟悉操作系统的相关原理，具备多线程/进程的相关开发经验，熟练应用IPC等相关机制；  4.熟悉数据库的相关原理，具备一种或者几种常见数据库的相关开发经验，比如mysql、PostgreSQL、MongoDB、Cassandra、Redis等 5.具备良好的设计模式、代码规范、团队合作能力，对新技术或问题能独立学习，思考解决问题 6.计算机、软件相关专业，有一定的项目经验者优先
后端开发实习生,300-500/天,不限,实习3个月,全国,,】1）1年以上后端经验，至少精通包括python在内的一种编程语言，熟悉golang加分,】1）1年以上后端经验，至少精通包括python在内的一种编程语言，熟悉golang加分
后端开发实习生,100-150/天,不限,实习2个月,北京,,,
后端开发实习生,400/天,本科,实习3个月,北京,1、大数据开发套件产品设计与研发，包括批流的大数据研发平台，元数据管理平台，数据质量监控平台，任务监控运维平台等；2、参与需求调研与用户技术支持；3、追求极致，构建业内领先的数据中台产品, 1、熟悉Java/Scala语言，包括JVM、类装载、线程、并发、IO资源管理、网络；2、了解Spring/MyBatis等开源框架；3、熟悉分布式、缓存、消息等机制；4、扎实的计算机基础，对技术有热情，愿意不断尝试新技术和业务挑战, 1、熟悉Java/Scala语言，包括JVM、类装载、线程、并发、IO资源管理、网络；2、了解Spring/MyBatis等开源框架；3、熟悉分布式、缓存、消息等机制；4、扎实的计算机基础，对技术有热情，愿意不断尝试新技术和业务挑战
后端开发实习生,120-200/天,本科,实习3个月,上海,,,
后端开发实习生,180-300/天,本科,实习3个月,深圳,,】1）至少精通包括python在内的一种编程语言，熟悉golang更佳,】1）至少精通包括python在内的一种编程语言，熟悉golang更佳
后端开发实习生,300-500/天,不限,实习6个月,上海,"描述： 1. 掌握一门主流编程语言2. 参与项目需求分析，负责系统功能的设计3. 负责 Web 产品的后端开发工作4. 对已有产品中的代码持续更新迭代优化和重构5. 负责相关系统的功能维护、BUG 修改 任职资格： 1. 符合鹰谷价值观：客户第一；有目标，才能实现梦想；因为坦诚，所以简单；你的后背，可以交给我；开心工作，开心生活2. 计算机相关专业、生物信息学、非计算机专业但有强烈从事软件开发的兴趣和行动力，即可报名。3. 熟练掌握 PHP+MYSQL 编程，熟悉一种 MVC 开发框架4. 熟悉相关 Web 开发技术，了解 HTML、Javascript、XML、CSS、Ajax 等技术5. 具有良好的沟通、理解及逻辑分析能力，学习能力强，有责任心6. 英文水平良好、可熟练阅读英文资料 公司介绍  2013 年 6 月，成立于中国药谷——上海张江，由中国健康产业基金等著名机构投资成立的高科技公司。鹰谷致力于生物医药科研领域的电子实验记录本、实验室信息化、大数据、人工智能和自动化应用软件开发，已经为恒瑞医药（中国市值最高的医药企业）、迈瑞医疗（中国最大的医疗器械公司）、上药集团（中国规模最大的医药企业）、蓝晶微生物（中国最领先的合成生物学企业）、晶泰科技（中国最领先的AI制药公司之一）、英矽智能（中国最领先的AI制药公司之一）、科望生物、舒泰神美国加州研发中心、美国SparX、美迪西生物医药、复旦张江医药、南大光电、中科院上海神经研究所（中国最领先的脑神经研究机构）等领先企业提供服务。鹰谷获得 2018 年国家科技重大专项资助，从事大数据和人工智能驱动的精准药物设计研究。 鹰谷提供以电子实验记录本为中心的数字化实验室解决方案，主要包括：电子实验记记录本（InELN）、化合物注册管理(InCMS)、结构式编辑器(InDraw)、基因编辑器（InSequence）试剂库存管理（InWMS）、科研项目管理（InProject）等实验室数据采集和管理软件服务。鹰谷电子实验记录本在中国销量领先，并已经率先进入美国市场，From China, For Global，是中国首家电子实验记录科研软件出海的企业",[],[]
后端开发助理,120-150/天,大专,实习5个月,成都,,,
python后端开发,200-250/天,本科,实习3个月,北京,,,
后端开发实习生,200-300/天,本科,实习3个月,北京,1、参与系统架构设计、优化，提升性能和开发效率；2、有技术研究和创新能力，善于归纳总结，能高效解决问题,1、本科及以上学历，计算机相关专业；2、有扎实的编程和代码能力，掌握Java/C++/python/Golang中的至少一门语言；3、有良好的数据结构和算法基础，熟悉常见开源分布式中间件，MySQL、Redis、MQ等常用组件；4、责任心强，善于学习，善于沟通和表达，有良好的团队合作意识,1、本科及以上学历，计算机相关专业；2、有扎实的编程和代码能力，掌握Java/C++/python/Golang中的至少一门语言；3、有良好的数据结构和算法基础，熟悉常见开源分布式中间件，MySQL、Redis、MQ等常用组件；4、责任心强，善于学习，善于沟通和表达，有良好的团队合作意识
