岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
软件开发,120-200/天,不限,实习11个月,西安,,,
软件开发,120-180/天,本科,实习6个月,成都,,,
软件开发工程师,250-500/天,本科,实习3个月,上海,,,
软件开发实习生,200-300/天,本科,实习6个月,上海,：     1.参与从用户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节； 2.创造性解决产品在实现过程中的技术难题,：     1.热爱编程，且对通过软件开发解决实际问题有强烈兴趣； 2.本科及以上学历，自动化、软件工程、计算机科学与技术、通讯工程等相关工科专业优先,：     1.热爱编程，且对通过软件开发解决实际问题有强烈兴趣； 2.本科及以上学历，自动化、软件工程、计算机科学与技术、通讯工程等相关工科专业优先
软件开发实习生,80-150/天,不限,实习3个月,福州,,,
软件开发实习生,150-200/天,不限,实习3个月,上海,,： 1.本科及以上学历，计算机/控制/电子/通信/软件工程等相关专业，本科要求985或211学校毕业；2.熟悉C，C++，Java，python等计算机开发语言中的任何一种，具有软件开发经验者优先；3.系统的逻辑思维能力，良好的语言表达能力和沟通技巧，良好的学习能力，具有一定的抗压能力，细心耐心&semi;4.每周能保证实习3天以上,： 1.本科及以上学历，计算机/控制/电子/通信/软件工程等相关专业，本科要求985或211学校毕业；2.熟悉C，C++，Java，python等计算机开发语言中的任何一种，具有软件开发经验者优先；3.系统的逻辑思维能力，良好的语言表达能力和沟通技巧，良好的学习能力，具有一定的抗压能力，细心耐心&semi;4.每周能保证实习3天以上
软件开发工程师,100-150/天,本科,实习3个月,福州,：1、从事物联网平台与边缘计算软件、分布式云化软件等的设计开发：2、完成从需求到软件产品定义、架构设计、开发实现、运营维护等产品生命周期中的各环节；3、创造性解决产品在实现过程中的技术难题，如分布式、高并发、高可靠、自动化运维等,：1、计算机、软件、通信、电子、自动化等相关专业本科及以上学历；23届毕业生，可长期实习优先；2、热爱编程，基础扎实，愿意学go，熟悉掌握但不限于JAVA/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践,：1、计算机、软件、通信、电子、自动化等相关专业本科及以上学历；23届毕业生，可长期实习优先；2、热爱编程，基础扎实，愿意学go，熟悉掌握但不限于JAVA/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践
软件开发实习生,250-400/天,不限,实习3个月,上海,,,
软件开发工程师,100-200/天,本科,实习3个月,南京,：1、负责分析保险产品，完成新一站产品与保险公司对接&产品上架；2、负责投保相关功能开发；3、参与部门知识积累归档工作,：1、有Java实际开发经验，计算机相关专业优先，较扎实的Java开发基础；2、熟悉常用的开发框架，掌握SSM，SpringBoot开发框架；熟悉常见的微服务框架，有大型项目经验者优先；3、富有责任心，有较好的沟通能力及团队合作能力，思路清晰，善于学习，能够独立思考，动手能力强，能够独立承担部分工作,：1、有Java实际开发经验，计算机相关专业优先，较扎实的Java开发基础；2、熟悉常用的开发框架，掌握SSM，SpringBoot开发框架；熟悉常见的微服务框架，有大型项目经验者优先；3、富有责任心，有较好的沟通能力及团队合作能力，思路清晰，善于学习，能够独立思考，动手能力强，能够独立承担部分工作
软件开发工程师,100-200/天,本科,实习3个月,南京,：1、负责对产品需求进行分析、设计、编码、自测；2、负责线上Bug分析和处理；3、参与SQL审核、代码评审；4、参与互联网前沿技术的研究，包括对相关开源框架和工具的研究和使用,：1、本科及以上学历，计算机、软件工程等相关专业；2、数据结构和算法、数据库原理等专业课程成绩优异者优先；3、熟悉Java语言，熟悉Web编程，熟悉数据库Oracle或MySQL；4、熟悉前端相关技术和标准，比如HTML、CSS、JS、HTTP协议等；5、对Spring、SpringMVC、MyBatis等开源框架有应用经验者优先,：1、本科及以上学历，计算机、软件工程等相关专业；2、数据结构和算法、数据库原理等专业课程成绩优异者优先；3、熟悉Java语言，熟悉Web编程，熟悉数据库Oracle或MySQL；4、熟悉前端相关技术和标准，比如HTML、CSS、JS、HTTP协议等；5、对Spring、SpringMVC、MyBatis等开源框架有应用经验者优先
实习生（软件开发）,100-200/天,不限,实习4个月,南京,：1、负责对产品需求进行分析、设计、编码、自测；2、负责线上Bug分析和处理；3、参与SQL审核、代码评审；4、参与互联网前沿技术的研究，包括对相关开源框架和工具的研究和使用,：1、本科及以上学历，计算机、软件工程等相关专业；2、数据结构和算法、数据库原理等专业课程成绩优异者优先；3、熟悉Java语言，熟悉Web编程，熟悉数据库Oracle或MySQL；4、熟悉前端相关技术和标准，比如HTML、CSS、JS、HTTP协议等；5、对Spring、SpringMVC、MyBatis等开源框架有应用经验者优先,：1、本科及以上学历，计算机、软件工程等相关专业；2、数据结构和算法、数据库原理等专业课程成绩优异者优先；3、熟悉Java语言，熟悉Web编程，熟悉数据库Oracle或MySQL；4、熟悉前端相关技术和标准，比如HTML、CSS、JS、HTTP协议等；5、对Spring、SpringMVC、MyBatis等开源框架有应用经验者优先
软件开发实习生,120-200/天,不限,实习3个月,西安,,,
软件开发实习生,150-200/天,本科,实习3个月,上海,,,
软件开发工程师,150-300/天,本科,实习12个月,杭州,：1.基于高性能计算/人工智能处理器，进行各类编译器的前端、优化器、后端以及其他软件工具的开发；2.基于RISC-V的底层软件开发，比如bootloader、Linux内核、工具链等；3.协助编写功能手册、创建测试集和系统联调等,：1.本科及以上学历，计算机、电子、数学等相关专业；2.具备良好的C/C++编程能力，良好的软件设计和开发能力；3.了解LLVM或其它开源编译器框架的开发者优先；4.了解OpenGL或CUDA等并行编程语言者优先,：1.本科及以上学历，计算机、电子、数学等相关专业；2.具备良好的C/C++编程能力，良好的软件设计和开发能力；3.了解LLVM或其它开源编译器框架的开发者优先；4.了解OpenGL或CUDA等并行编程语言者优先
软件开发实习生,100-150/天,本科,实习3个月,上海,：1.负责公司系统的需求分析、系统设计、开发实现,：1、本科，计算机类相关专业；2、在软件开发（JAVA/.NET)、网页制作等领域有特长者；3、有高度的责任心、耐心及保密意识，能够承受一定的工作压力；4、中共党员、学生干部或有相关实习经验者优先,：1、本科，计算机类相关专业；2、在软件开发（JAVA/.NET)、网页制作等领域有特长者；3、有高度的责任心、耐心及保密意识，能够承受一定的工作压力；4、中共党员、学生干部或有相关实习经验者优先
软件开发实习生,180-300/天,本科,实习6个月,上海,,,
软件开发工程师,180-200/天,本科,实习6个月,杭州,】1、参与芯片产品关键技术的迭代和验证工作；2、定期参与重点研发项目攻关小组，完成定向技术开发或辅助开发；3、熟练掌握C++开发语言，熟悉Mysql/Oracle/Sql server等关系型数据库；4、参与核心产品的售前/售后工作，提供必要的技术支持； 【任职要求】1、本科及以上2、较好的逻辑思维能力和学习能力；3、了解计算机体系架构，数据结构和并行计算原理；4、能发现系统设计瓶颈并加以改善；5、对AI及芯片行业感兴趣的小伙伴优先考虑； 【你将获得】1、工作时间：9:00-17:30，周末双休~2、假期：法定节假日+带薪年假+婚假+产假等；3、五险一金（入职即缴纳），实习生可盖实习章~4、一系列培训计划，完善的培训机制提升自己~5、我们有舒适的办公环境、活跃的团队氛围，具有强烈归属感的小伙伴~小可爱们快看过来！6、我们有高精尖团队小伙伴，百分百本科以上学历，美国常青藤大学毕业大佬带队，扁平化管理，能逗逼不撕逼,】1、本科及以上2、较好的逻辑思维能力和学习能力；3、了解计算机体系架构，数据结构和并行计算原理；4、能发现系统设计瓶颈并加以改善；5、对AI及芯片行业感兴趣的小伙伴优先考虑； 【你将获得】1、工作时间：9:00-17:30，周末双休~2、假期：法定节假日+带薪年假+婚假+产假等；3、五险一金（入职即缴纳），实习生可盖实习章~4、一系列培训计划，完善的培训机制提升自己~5、我们有舒适的办公环境、活跃的团队氛围，具有强烈归属感的小伙伴~小可爱们快看过来！6、我们有高精尖团队小伙伴，百分百本科以上学历，美国常青藤大学毕业大佬带队，扁平化管理，能逗逼不撕逼,】1、本科及以上2、较好的逻辑思维能力和学习能力；3、了解计算机体系架构，数据结构和并行计算原理；4、能发现系统设计瓶颈并加以改善；5、对AI及芯片行业感兴趣的小伙伴优先考虑； 【你将获得】1、工作时间：9:00-17:30，周末双休~2、假期：法定节假日+带薪年假+婚假+产假等；3、五险一金（入职即缴纳），实习生可盖实习章~4、一系列培训计划，完善的培训机制提升自己~5、我们有舒适的办公环境、活跃的团队氛围，具有强烈归属感的小伙伴~小可爱们快看过来！6、我们有高精尖团队小伙伴，百分百本科以上学历，美国常青藤大学毕业大佬带队，扁平化管理，能逗逼不撕逼
软件开发工程师,200-300/天,本科,实习3个月,上海,： 1. 负责智慧水务、智慧水利相关系统后台开发； 2. 负责本专业技术文件的编写与审核； 3. 为咨询部门提供技术支持，负责协助专业相关软件的开发； 4. 完成部门领导交办的其他工作任务,：1.有较好的数学背景，会各种数据结构，例如linked list，vector，stack等等，会C++14或者C++11,：1.有较好的数学背景，会各种数据结构，例如linked list，vector，stack等等，会C++14或者C++11
软件开发工程师,300-500/天,本科,实习12个月,郑州,,,
软件开发实习生,120-150/天,本科,实习6个月,上海,,,
软件开发实习生,100-120/天,本科,实习3个月,广州,,：1. 本科或以上学历，电子信息工程/计算机相关专业；2. 熟练掌握C/C++语言；3. 熟悉linux驱动和应用开发；4. 熟悉tp，lcd，i2c，codec，flash，wifi等驱动开发,：1. 本科或以上学历，电子信息工程/计算机相关专业；2. 熟练掌握C/C++语言；3. 熟悉linux驱动和应用开发；4. 熟悉tp，lcd，i2c，codec，flash，wifi等驱动开发
软件开发实习生,100-120/天,本科,实习3个月,广州,：1.负责智能产品的嵌入式软件开发；2.协助硬件工程师进行设备调试；3.参与相关技术文档的拟制；4.跟进产品试产、测试验证并及时解决开发中的各种问题,：1.熟悉STM32系列处理器，了解RS232、SPI、I2C等常规硬件接口及其原理，能够进行驱动程序设计、编写和调试；2.具有良好的C语言基础，能够独立进行软件模块和应用程序的编写；3.熟练使用Keil-MDK、SVN等开发工具，并具有良好的编程习惯,：1.熟悉STM32系列处理器，了解RS232、SPI、I2C等常规硬件接口及其原理，能够进行驱动程序设计、编写和调试；2.具有良好的C语言基础，能够独立进行软件模块和应用程序的编写；3.熟练使用Keil-MDK、SVN等开发工具，并具有良好的编程习惯
软件开发工程师,200-300/天,本科,实习3个月,南京,在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：（1）完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；（2）创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等；（3）有机会参与业界前沿技术研究和规划，参与开源社区运作，与全球专家一起工作、交流，构建华为在业界影响力,1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；5、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织；（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术,1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；5、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织；（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术
软件开发实习生,200-300/天,本科,实习2个月,苏州,,1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；5、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织；（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术,1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；5、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织；（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术
软件开发实习生,200-400/天,本科,实习3个月,北京,,1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；5、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织；（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术,1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；5、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织；（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术
软件开发实习生,150-180/天,硕士,实习4个月,苏州,,,
软件开发实习生,300-500/天,本科,实习3个月,上海,,,
软件开发实习生,200-250/天,本科,实习3个月,上海,】1.     负责车载系统的软件的开发,】1.     计算机、电子信息、自动化等专业，本科及以上学历；2.     大三、四学生，每周3天或以上，能长期实习者优先； 优秀者可转正留用,】1.     计算机、电子信息、自动化等专业，本科及以上学历；2.     大三、四学生，每周3天或以上，能长期实习者优先； 优秀者可转正留用
软件开发实习生,120-150/天,本科,实习3个月,大连,,,
软件开发实习生,120-180/天,本科,实习3个月,天津,,，完成子系统和模块开发、单元测试和系统联调；3、根据公司规范要求，编写技术文档；4、系统重构、功能升级和解决bug,，完成子系统和模块开发、单元测试和系统联调；3、根据公司规范要求，编写技术文档；4、系统重构、功能升级和解决bug
软件开发实习生,120-180/天,本科,实习3个月,天津,,，完成子系统和模块开发、单元测试和系统联调；3、根据公司规范要求，编写技术文档；4、系统重构、功能升级和解决bug,，完成子系统和模块开发、单元测试和系统联调；3、根据公司规范要求，编写技术文档；4、系统重构、功能升级和解决bug
软件开发实习生,120-180/天,本科,实习3个月,北京,,，完成子系统和模块开发、单元测试和系统联调；3、根据公司规范要求，编写技术文档；4、系统重构、功能升级和解决bug,，完成子系统和模块开发、单元测试和系统联调；3、根据公司规范要求，编写技术文档；4、系统重构、功能升级和解决bug
软件开发实习生,100-150/天,不限,实习3个月,济南,,,
软件开发实习生,100-150/天,本科,实习3个月,济南,】1、参与软件开发相关的工作；2、参与物联网相关平台、移动端的系统、应用开发；3、参与内部创新项目的快速系统落地,】1、本科及以上学历；2、熟悉Java/C/C++其中一种语言；3、熟悉各种流行数据库；4、有前后端开发实习经验优先考虑,】1、本科及以上学历；2、熟悉Java/C/C++其中一种语言；3、熟悉各种流行数据库；4、有前后端开发实习经验优先考虑
软件开发工程师,150-200/天,不限,实习3个月,北京,：1.参与理想AI训练平台和理想车机后台等系统的研发；2.负责所研发产品的高效迭代开发，包括需求评审、系统设计、单元测试、运行跟踪和持续优化；3.定期整理知识文档，主动分享学习心得,[],[]
