岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
量化研究员,500-1000/天,本科,实习3个月,上海,,1. 本科及以上学历，与量化交易领域相关的学位（例如：金融工程，计算机科学，通信、软件工程，物理，数学统计等数理类专业），国内外知名高校，硕博生优先录用；2. 有使用过量化平台开发经验的优先；3. 有git使用经验，具备良好的编程习惯,1. 本科及以上学历，与量化交易领域相关的学位（例如：金融工程，计算机科学，通信、软件工程，物理，数学统计等数理类专业），国内外知名高校，硕博生优先录用；2. 有使用过量化平台开发经验的优先；3. 有git使用经验，具备良好的编程习惯
金融实习生,100-200/天,本科,实习3个月,广州,"】：1、服务注册公司产品软件的用户，结合股市行情走势讲解产品中显示的指标进行分析；2、依据平台内外部资源，有效地协调运营与推广达成一致，完成营销目标；3、根据投资顾问老师大盘分析，对使用公司产品的用户数据分析和财经热点传达，分析用户的新增、留存，发现关键点问题并及时更改运营策略；4、有较强的组织、协调、沟通能力，及时把控和解决处理投诉用户的问题；加入我们，你可以享有：【钱包鼓】无责任底薪+绩效工资+高提成+激励奖金；（此岗位直接归属总部，享受总部资源与总部员工待遇，自带总部光环）【福利丰厚】出国旅游+不定时旅游+每月生日会等；【培训丰富】培训+业务知识+多元化销售技巧；【发展快速】这里将会提供给你公平的发展平台，公司实施的是扁平化的管理，纵向发展到高级别销售，横向晋升到销售管理岗，转行从事投资顾问工作也是可以滴。还有还有:★公司设有娱乐休闲区，里面有健身房，桌球等，娱乐工作两不误；★上班嘴馋吗？这里有各式各样的零食等来你享用哟,秉承吃货精神；★喜欢咖啡吗，喜欢茶道吗？我们设有茶水间、冰箱、微波炉，满足你们所有的味觉；★惊喜无处不在--生日会、下午茶、节日活动、户外活动及各种团建活动等着你哦。【上班时间与地点】时间：上午8:30—下午6:00，中休1.5小时，法定节假日按国家规定放假，正常休息；上班地点：广州番禺节能科技园总部2号楼19层整层（公司总部）【学习】我们会为您提供企业商学院的学习账号、同时提供每个月最少2次的系统带薪培训机会，让您不断增值自己提升能力！【发展】我们会为您提供清晰的个人职业发展规划，为您提供多职能发展方向以及内部创业机会，让您保持进步、实现职业理想！【财富】我们会为您提供清晰透明的薪酬机制：基本薪资+绩效奖金+3~5个月年终奖，各种节假日福利，年底提供孝心红包，让您真正做到多劳多得！【办公】我们会为您提供最轻松的办公环境，每个月组织团建活动，每年组织省内、省外旅游，年度优秀员工还可享受国外游，让您觉得上班原来是一种享受！【福利】我们会有法定节假日、员工产品折扣补贴、零食货架、微波炉、冰箱、预算等方便员工的设备，同时为您提供园区式办公环境，提供24小时园区安保、近20家不同风味餐厅、篮球场、足球场、商场、公寓，让您工作无任何后顾之忧！福利太多，不能一 一描述，来了就知道",】：1、本科及以上学历，金融相关专业优先，具有证券从业资格证书2、热爱证券股票行业，想要让自己更专业，想要在金融行业长期发展；3、具有良好的沟通能力，语言表达能力、逻辑思维能力和学习能力；4、有较好的服务意识及金融专业基础知识能力，个人进取心强，谦和爱学习；5、工作态度端正、积极主动,】：1、本科及以上学历，金融相关专业优先，具有证券从业资格证书2、热爱证券股票行业，想要让自己更专业，想要在金融行业长期发展；3、具有良好的沟通能力，语言表达能力、逻辑思维能力和学习能力；4、有较好的服务意识及金融专业基础知识能力，个人进取心强，谦和爱学习；5、工作态度端正、积极主动
金融实习生,100-150/天,本科,实习6个月,广州,,】1.专科及以上学历，可接受应届实习生；2.对金融感兴趣，致力于金融行业长期发展；3.有良好的语言沟通能力和团队合作精神，具备一定的营销思维；4.学习能力和协作能力强,】1.专科及以上学历，可接受应届实习生；2.对金融感兴趣，致力于金融行业长期发展；3.有良好的语言沟通能力和团队合作精神，具备一定的营销思维；4.学习能力和协作能力强
金融实习生,100-200/天,不限,实习3个月,广州,,：1) 全日制专科以及上学历，金融相关专业优先，优秀者可适当放宽学历条件；2) 有目标感，工作有条理，主动性强，擅于沟通，有较强的独立能力；3) 对金融领域有浓厚的兴趣，对金融行业未来前景有清晰的认识，并愿意扎根下去，立足做大做强,：1) 全日制专科以及上学历，金融相关专业优先，优秀者可适当放宽学历条件；2) 有目标感，工作有条理，主动性强，擅于沟通，有较强的独立能力；3) 对金融领域有浓厚的兴趣，对金融行业未来前景有清晰的认识，并愿意扎根下去，立足做大做强
金融实习生,100-200/天,本科,实习3个月,广州,,：一、对金融投资领域有浓厚的兴趣，立志在该行业长期发展,：一、对金融投资领域有浓厚的兴趣，立志在该行业长期发展
金融实习生,100/天,本科,实习3个月,广州,： 1)       研究资本市场，对盘面进行分析并整理编写成数据分析报告，预测市场发展变化趋势 2)       精准把握市场机会，根据盘面及时调整分析策略，做好数据统计，确保分析正确率的最大化； 3)       每个工作日盘后总结，及时发现和分析其中隐含的变化和问题，为业务发展提供决策支持,： 1) 全日制专科以及上学历，金融相关专业优先，具备证券从业资格证书者或有证券从业经验者优先；； 2) 有目标感，工作有条理，主动性强，擅于沟通，有较强的独立能力； 3) 对金融领域有浓厚的兴趣，对金融行业未来前景有清晰的认识，并愿意扎根下去，立足做大做强,： 1) 全日制专科以及上学历，金融相关专业优先，具备证券从业资格证书者或有证券从业经验者优先；； 2) 有目标感，工作有条理，主动性强，擅于沟通，有较强的独立能力； 3) 对金融领域有浓厚的兴趣，对金融行业未来前景有清晰的认识，并愿意扎根下去，立足做大做强
金融实习生,150-300/天,不限,实习3个月,广州,,：1、大专及以上学历，优秀毕业生优先2、熟练操作excel、word等办公软件、及对数据比较敏感3、高效的执行力，较强的责任心和原则性，能承受工作压力4、善于沟通和团队合作，具有较强的团队合作精神5、具备较强工作条理性及协调能力，头脑灵活，应变能力强,：1、大专及以上学历，优秀毕业生优先2、熟练操作excel、word等办公软件、及对数据比较敏感3、高效的执行力，较强的责任心和原则性，能承受工作压力4、善于沟通和团队合作，具有较强的团队合作精神5、具备较强工作条理性及协调能力，头脑灵活，应变能力强
金融实习生,200-300/天,不限,实习6个月,成都,,：1，男女不限，大专及以上学历，有经验者优先，可接受实习生，应届毕业生；实习生毕业后优先录用，签订正规劳动合同,：1，男女不限，大专及以上学历，有经验者优先，可接受实习生，应届毕业生；实习生毕业后优先录用，签订正规劳动合同
金融行政岗,面议,不限,实习3个月,天津,：简单行政及简单企业服务工作，可全程教学,,
金融工程师,150-250/天,本科,实习3个月,上海,：1、挖掘分析市场数据；2、通过量化策略开发和优化，对公司现有量化策略体系进行补足、增强； 3、通过合理组合策略，提高产品和大类资产的实盘表现；4、撰写评估分析报告,[],[]
