岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
Java实习生,80-100/天,本科,实习6个月,武汉,：1、承担WeGIS系统前/后端功能模块开发及相关工作,：1、23届优先，本科及以上学历，地理信息或计算机相关专业，对GIS有比较清晰的认识,：1、23届优先，本科及以上学历，地理信息或计算机相关专业，对GIS有比较清晰的认识
Java实习生,180-250/天,本科,实习3个月,西安,,，承担开发任务，按计划完成；3、具有较好的文档编写能力，能够编制相关需求和技术文档；4、相关软件单元的测试，配合集成测试；5、负责开源软件研究，大数据平台与行业结合应用研究等职位要求：1、计算机GIS相关专业，具有2年以上的java开发经验,，承担开发任务，按计划完成；3、具有较好的文档编写能力，能够编制相关需求和技术文档；4、相关软件单元的测试，配合集成测试；5、负责开源软件研究，大数据平台与行业结合应用研究等职位要求：1、计算机GIS相关专业，具有2年以上的java开发经验
Java实习生,100-200/天,本科,实习12个月,杭州,,,
JAVA实习生,150-200/天,本科,实习4个月,北京,,： 1. 2021届应届毕业生，统招本科学历以上，985/211院校优先考虑； 2. 有扎实的数据结构和算法功底，能熟练使用一门开发语言； 3. 有技术好奇心，具备良好的沟通能力和协作意识，自学能力强，有比较好的产品意识； 4. 热爱移动开发，有移动开发经验者优先； 5. 每周至少工作4天以上,： 1. 2021届应届毕业生，统招本科学历以上，985/211院校优先考虑； 2. 有扎实的数据结构和算法功底，能熟练使用一门开发语言； 3. 有技术好奇心，具备良好的沟通能力和协作意识，自学能力强，有比较好的产品意识； 4. 热爱移动开发，有移动开发经验者优先； 5. 每周至少工作4天以上
Java工程师,120-180/天,大专,实习3个月,济南,,并乐于学习，欢迎你加入我们！ 工作内容：1、java相关项目代码编写，根据上级要求，完成相关开发任务和维护任务2、完成项目软件测试工作，并撰写相关技术文档3、上级安排的其他任务 任职要求： 1、专科(含专科，统招)以上学历，计算机、软件、数学等相关专业毕业,并乐于学习，欢迎你加入我们！ 工作内容：1、java相关项目代码编写，根据上级要求，完成相关开发任务和维护任务2、完成项目软件测试工作，并撰写相关技术文档3、上级安排的其他任务 任职要求： 1、专科(含专科，统招)以上学历，计算机、软件、数学等相关专业毕业
Java实习生,100-200/天,本科,实习3个月,苏州,,,
Java实习生,150-180/天,硕士,实习3个月,上海,,,
Java实习生,100-120/天,大专,实习3个月,成都,1、负责代码编写、单元测试、Bug修改；2、协助测试人员完成集成和系统测试；3、完成项目组分配的其它工作,[],[]
java实习生,50-100/天,大专,实习3个月,成都,,[],[]
Java实习生,面议,不限,实习4个月,成都,,[],[]
Java助理,120-180/天,不限,实习3个月,成都,1、根据业务详细需求和公司需要，进行各应用系统和业务产品的开发工作；2、参与部分系统体系结构分析、数据库、接口设计等工作；3、根据开发规范、流程和设计文档，独立完成具体模块的编码、测试以及相关文档工作；4、协助测试工程师制定测试计划，定位发现的问题；5、完成其他公司交办的任务,1、有一定JAVA基础，了解多线程机制；2、理解JAVA EE中的JSP/SERVLET，熟悉原生JDBC；3、能使用mysql或oracle数据库的一种 ，对基本CRUD及较复杂SQL查询比较了解 ；4、对前后端分离、通讯数据格式等有一定了解；5、了解Nodejs相关常用工具如webpack、NMP等；6、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神,1、有一定JAVA基础，了解多线程机制；2、理解JAVA EE中的JSP/SERVLET，熟悉原生JDBC；3、能使用mysql或oracle数据库的一种 ，对基本CRUD及较复杂SQL查询比较了解 ；4、对前后端分离、通讯数据格式等有一定了解；5、了解Nodejs相关常用工具如webpack、NMP等；6、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神
Java实习生,150-180/天,本科,实习2个月,南京,： 负责我司在线实习、课程、B端业务的开发和迭代,： 1.本科及以上学历，计算机相关专业； 2.学习能力强，对数据结构有较好的理解；  3. 熟练掌握java语言，有一定的Springboot等相关框架开发经验；  4. 对mysql等数据库知识有较好理解，有使用经验,： 1.本科及以上学历，计算机相关专业； 2.学习能力强，对数据结构有较好的理解；  3. 熟练掌握java语言，有一定的Springboot等相关框架开发经验；  4. 对mysql等数据库知识有较好理解，有使用经验
